Id_mun_agee,NOM_MUN,tasa_mortalidad_20_1,tasa_mortalidad_20_2,tasa_mortalidad_21_1,tasa_mortalidad_21_2,dens_pobl_norm,mortalidad_norm_20_1,mortalidad_norm_20_2,mortalidad_norm_21_1,mortalidad_norm_21_2,pobreza_norm
1001,Aguascalientes,20.96966,161.22404,105.16444,60.06386,0.04533,0.09573,0.72577,0.31542,0.24147,0.19912
1005,Jesús María,12.31442,103.9029,57.72383,51.56662,0.01415,0.05428,0.46773,0.17313,0.20674,0.22757
2001,Ensenada,55.20418,147.36135,100.94478,110.18303,0.0,0.25968,0.66336,0.30277,0.4463,0.18381
2002,Mexicali,186.70365,147.07675,90.9704,101.73444,0.00334,0.88945,0.66208,0.27285,0.41177,0.16083
2003,Tecate,67.31833,122.64847,52.56363,47.95278,0.00182,0.3177,0.55212,0.15766,0.19197,0.17068
2004,Tijuana,90.81816,81.09136,58.56887,55.86409,0.08804,0.43024,0.36504,0.17567,0.2243,0.19912
2005,Playas de Rosarito,30.73528,67.77524,42.55655,63.04673,0.01396,0.1425,0.3051,0.12764,0.25366,0.28118
3003,La Paz,39.0089,108.8143,149.19193,129.3453,0.00057,0.18212,0.48984,0.44748,0.52462,0.16521
3008,Los Cabos,24.20887,67.78483,118.48105,127.02536,0.00485,0.11124,0.30514,0.35537,0.51513,0.28665
4002,Campeche,119.3565,57.46794,57.1279,153.70124,0.00468,0.56692,0.2587,0.17135,0.62416,0.2954
4003,Carmen,144.26651,52.64321,50.23207,130.20153,0.00117,0.68621,0.23698,0.15066,0.52812,0.32713
5002,Acuña,109.77689,98.12459,74.20672,45.38262,0.00033,0.52104,0.44172,0.22257,0.18147,0.19584
5017,Matamoros,39.71708,167.31876,54.08283,52.39274,0.00787,0.18551,0.7532,0.16221,0.21012,0.24508
5018,Monclova,29.41782,213.48933,108.00543,59.2559,0.01033,0.13619,0.96105,0.32395,0.23817,0.18928
5025,Piedras Negras,27.22215,155.96023,140.08065,54.4443,0.02068,0.12567,0.70207,0.42015,0.2185,0.18709
5027,Ramos Arizpe,6.54434,89.16666,59.71712,40.90214,0.00055,0.02664,0.40139,0.17911,0.16316,0.12363
5030,Saltillo,20.1146,153.53005,89.54973,55.91176,0.00843,0.09163,0.69113,0.26859,0.2245,0.13239
5033,San Pedro,69.27881,172.20732,92.04184,66.30972,0.00033,0.32709,0.77521,0.27606,0.26699,0.39278
5035,Torreón,45.50196,209.05933,59.92942,48.55393,0.03147,0.21322,0.9411,0.17975,0.19443,0.22429
6002,Colima,14.6452,101.24293,84.05074,146.45204,0.0115,0.06544,0.45576,0.2521,0.59453,0.21335
6007,Manzanillo,54.44143,106.26548,49.73015,162.27733,0.00753,0.25603,0.47837,0.14916,0.65921,0.21007
6009,Tecomán,46.42965,83.4014,30.9531,194.31667,0.00655,0.21766,0.37544,0.09284,0.79015,0.35449
6010,Villa de Álvarez,8.68044,86.8044,58.7599,120.1907,0.02909,0.03687,0.39076,0.17624,0.4872,0.15208
7019,Comitán de Domínguez,78.22937,9.02647,27.68116,52.95526,0.00919,0.36995,0.04063,0.08303,0.21242,0.69256
7023,Chamula,0.98071,0.0,0.0,0.98071,0.01633,0.0,0.0,0.0,0.0,0.99344
7027,Chiapa de Corzo,52.64332,9.81486,24.98327,55.3201,0.00719,0.24742,0.04418,0.07493,0.22208,0.60175
7031,Chilón,1.45707,0.0,0.72853,1.45707,0.00417,0.00228,0.0,0.00219,0.00195,1.0
7052,Las Margaritas,14.18168,7.09084,4.96359,15.59985,0.00218,0.06322,0.03192,0.01489,0.05975,0.96937
7059,Ocosingo,11.93211,2.98303,1.70459,4.26147,0.00093,0.05245,0.01343,0.00511,0.01341,0.95186
7065,Palenque,30.99837,9.82875,4.53635,12.09693,0.00213,0.14376,0.04425,0.01361,0.04543,0.7046
