Lat_Decimal,Lon_Decimal,Altitud,Id_mun_agee,NOM_MUN,total_muertes,total_muertes_21,dens_pobl,POBTOT,tasa_mortalidad,tasa_mortalidad_21,pobreza,lat_norm,lon_norm,alt_norm,dens_pobl_norm,mortalidad_norm,pobreza_norm,mortalidad_norm_21,membresias
21.879823,-102.296047,1878,1001,Aguascalientes,1852,1702,805.59423,948990,195.15485,179.34857,23.7,0.67031,0.873918413,0.67554,0.04578,0.07614,0.24458,0.0712,9
21.961273,-102.343416,1877,1005,Jesús María,185,140,257.28515,129929,142.38546,107.75116,26.3,0.67281,0.874323088,0.67518,0.01462,0.05555,0.27141,0.04278,13
31.808944,-116.595134,18,2001,Ensenada,943,930,8.35181,443807,212.47975,209.55055,22.3,0.9745,0.996075972,0.00647,0.00047,0.0829,0.23013,0.08319,9
32.641176,-115.475579,0,2002,Mexicali,3577,2033,67.0665,1049792,340.73416,193.65741,20.2,1,0.986511577,0,0.00381,0.13293,0.20846,0.07688,9
32.572679,-116.62655,526,2003,Tecate,118,45,40.35728,108440,108.81594,41.4976,21.1,0.9979,0.99634436,0.18921,0.00229,0.04245,0.21775,0.01647,9
32.532461,-117.018913,22,2004,Tijuana,3563,2411,1556.69879,1922523,185.32938,125.40812,23.7,0.99667,0.999696329,0.00791,0.08847,0.0723,0.24458,0.04979,9
32.363684,-117.054459,25,2005,Playas de Rosarito,45,20,253.78,126890,35.46379,15.76168,31.2,0.9915,1,0.00899,0.01442,0.01384,0.32198,0.00626,13
30.556485,-115.939061,27,2006,San Quintín,2,146,0,117568,1.70114,124.18345,34.9,0.93613,0.990471119,0.00971,0,0.00066,0.36017,0.0493,4
24.148745,-110.30659,31,3003,La Paz,588,1116,18.45771,292241,201.2038,381.8766,20.6,0.73982,0.942352739,0.01115,0.00105,0.0785,0.21259,0.15161,9
23.061591,-109.694749,17,3008,Los Cabos,252,706,93.60464,351111,71.77217,201.07601,31.7,0.70652,0.937125761,0.00612,0.00532,0.028,0.32714,0.07983,4
19.844814,-90.539649,6,4002,Campeche,752,914,90.65259,294077,255.71534,310.80295,32.5,0.60797,0.773483127,0.00216,0.00515,0.09976,0.3354,0.12339,4
18.637789,-91.83645,-2,4003,Carmen,501,416,28.87838,248845,201.33015,167.17234,35.4,0.57099,0.78456174,-0.00072,0.00164,0.07855,0.36533,0.06637,4
