Lat_Decimal,Lon_Decimal,Altitud,Id_mun_agee,NOM_MUN,mortalidad,ids_00_comp
21.879823,-102.296047,1878,1001,Aguascalientes,1852,1001
21.961273,-102.343416,1877,1005,Jesús María,185,1005
31.808944,-116.595134,18,2001,Ensenada,943,2001
32.641176,-115.475579,0,2002,Mexicali,3577,2002
32.572679,-116.62655,526,2003,Tecate,118,2003
32.532461,-117.018913,22,2004,Tijuana,3563,2004
32.363684,-117.054459,25,2005,Playas de Rosarito,45,2005
30.556485,-115.939061,27,2006,San Quintín,2,2006
24.148745,-110.30659,31,3003,La Paz,588,3003
23.061591,-109.694749,17,3008,Los Cabos,252,3008
19.844814,-90.539649,6,4002,Campeche,752,4002
18.637789,-91.83645,-2,4003,Carmen,501,4003
29.330006,-100.978258,291,5002,Acuña,273,5002
25.528136,-103.230384,1115,5017,Matamoros,97,5017
26.901242,-101.417224,607,5018,Monclova,792,5018
28.708093,-100.528441,225,5025,Piedras Negras,349,5025
25.543234,-100.950782,1394,5027,Ramos Arizpe,51,5027
25.421665,-100.999721,1600,5030,Saltillo,1854,5030
25.757778,-102.983157,1092,5033,San Pedro,223,5033
25.541753,-103.453061,1110,5035,Torreón,2099,5035
19.242922,-103.728119,484,6002,Colima,214,6002
19.053206,-104.316381,12,6007,Manzanillo,316,6007
18.910604,-103.873789,34,6009,Tecomán,83,6009
19.264776,-103.736759,520,6010,Villa de Álvarez,339,6010
16.252461,-92.135835,1643,7019,Comitán de Domínguez,182,7019
16.7875,-92.689167,2258,7023,Chamula,1,7023
16.707958,-93.015959,403,7027,Chiapa de Corzo,61,7027
17.105491,-92.271528,869,7031,Chilón,2,7031
16.315947,-91.981568,1525,7052,Las Margaritas,29,7052
16.908038,-92.095827,893,7059,Ocosingo,35,7059
17.509133,-91.981033,80,7065,Palenque,41,7065
16.737022,-92.637564,2120,7078,San Cristóbal de las Casas,61,7078
14.911071,-92.26432,177,7089,Tapachula,468,7089
